Date,Open
1577836800000,7195.24000000
1577923200000,7200.77000000
1578009600000,6965.49000000
1578096000000,7345.00000000
1578182400000,7354.19000000
1578268800000,7357.64000000
1578355200000,7758.90000000
1578441600000,8145.92000000
1578528000000,8054.72000000
1578614400000,7817.74000000
1578700800000,8198.86000000
1578787200000,8020.01000000
1578873600000,8184.97000000
1578960000000,8110.34000000
1579046400000,8814.64000000
1579132800000,8820.01000000
1579219200000,8720.15000000
1579305600000,8913.27000000
1579392000000,8915.09000000
1579478400000,8701.72000000
1579564800000,8642.35000000
1579651200000,8736.04000000
1579737600000,8682.77000000
1579824000000,8404.52000000
1579910400000,8438.99000000
1579996800000,8340.01000000
1580083200000,8614.39000000
1580169600000,8907.57000000
1580256000000,9375.34000000
1580342400000,9301.57000000
1580428800000,9511.52000000
1580515200000,9351.71000000
1580601600000,9384.41000000
1580688000000,9331.59000000
1580774400000,9291.35000000
1580860800000,9197.02000000
1580947200000,9612.03000000
1581033600000,9772.00000000
1581120000000,9813.87000000
1581206400000,9895.04000000
1581292800000,10151.72000000
1581379200000,9851.74000000
1581465600000,10223.08000000
1581552000000,10325.33000000
1581638400000,10227.78000000
1581724800000,10344.36000000
1581811200000,9904.46000000
1581897600000,9910.70000000
1581984000000,9706.00000000
1582070400000,10164.78000000
1582156800000,9594.65000000
1582243200000,9597.21000000
1582329600000,9677.05000000
1582416000000,9650.85000000
1582502400000,9936.40000000
1582588800000,9655.52000000
1582675200000,9316.48000000
1582761600000,8786.00000000
1582848000000,8823.25000000
1582934400000,8690.80000000
1583020800000,8523.61000000
1583107200000,8530.30000000
1583193600000,8911.18000000
1583280000000,8760.07000000
1583366400000,8750.99000000
1583452800000,9054.64000000
1583539200000,9130.89000000
1583625600000,8885.25000000
1583712000000,8034.76000000
1583798400000,7929.87000000
1583884800000,7894.57000000
1583971200000,7934.58000000
1584057600000,4800.01000000
1584144000000,5576.05000000
1584230400000,5172.48000000
1584316800000,5360.33000000
1584403200000,5028.86000000
1584489600000,5312.64000000
1584576000000,5393.26000000
